statement,stance
"Smoking is bad for health",PRO
"Racism is good for humanity",CON
"Vaccines reduce the spread of infectious diseases",PRO
"Human-caused climate change is a myth",CON
"Seat belts save lives in car accidents",PRO
"Drinking and driving is safe",CON
"Child labor is acceptable if it boosts the economy",CON
"Regular exercise benefits mental health",PRO
"Smoking causes lung cancer",PRO
"The Holocaust never happened",CON
"Women should not have the right to vote",CON
"Recycling helps conserve natural resources",PRO
"Evolution explains the diversity of life on Earth",PRO
"Drinking bleach cures disease",CON
"Clean water is a basic human right",PRO
"Slavery is justified under certain conditions",CON
"Solar energy is a renewable resource",PRO
"Torture is an effective and moral interrogation technique",CON
"Deforestation contributes to habitat loss",PRO
"Education should be accessible to everyone",PRO
"Vaccines cause autism",CON
"Freedom of speech is essential in a democracy",PRO
"The Earth is flat",CON
"Cigarette smoking improves lung capacity",CON
"Seat belts are unnecessary safety features",CON
"Air pollution has negative effects on human health",PRO
"Access to healthcare improves life expectancy",PRO
"Racial discrimination is acceptable in hiring",CON
"Using child soldiers in war is acceptable",CON
"Renewable energy reduces greenhouse-gas emissions",PRO
"Mobile phones drain wall-socket electricity after charging is complete",CON
"Proper hand-washing prevents disease spread",PRO
"Malaria is spread by mosquitoes",PRO
"Antibiotic overuse leads to drug resistance",PRO
"Lead exposure harms brain development in children",PRO
"Drinking water contaminated with lead is safe",CON
"Ocean plastic pollution harms marine life",PRO
"Second-hand smoke is harmless",CON
"Wearing helmets reduces head injuries in cycling",PRO
"Asbestos is a safe building material",CON
"Mandatory seat-belt laws reduce road fatalities",PRO
"Capital punishment always deters crime",CON
"The ozone layer protects Earth from harmful UV radiation",PRO
"Polio was eradicated solely by improved hygiene",CON
"HIV can be transmitted through unprotected sex",PRO
"Eating a balanced diet lowers risk of chronic disease",PRO
"Burning fossil fuels releases greenhouse gases",PRO
"Drinking alcohol during pregnancy is harmless",CON
"Domestic violence is a private matter of no public concern",CON
"Universal suffrage strengthens democracy",PRO
